Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00      157     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.42     0.00      153     0.00     0.00  std::iterator_traits<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >::iterator_category std::__iterator_category<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      0.42     0.00      140     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::begin()
  0.00      0.42     0.00      136     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::difference_type __gnu_cxx::operator-<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.42     0.00      133     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::end()
  0.00      0.42     0.00      129     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::operator+=(long)
  0.00      0.42     0.00      129     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<unsigned int const, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(unsigned int const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >) const
  0.00      0.42     0.00      129     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<unsigned int const, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(unsigned int const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>) const
  0.00      0.42     0.00      129     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, long>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >&, long)
  0.00      0.42     0.00      129     0.00     0.00  void std::advance<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, long>(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>&, long)
